location,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean
Berlin,1983-08-08 00:00:00+00:00,24.139,14.688999,19.424417
Berlin,1983-08-09 00:00:00+00:00,24.889,15.539,19.984835
Berlin,1983-08-10 00:00:00+00:00,25.789,14.389,20.50775
Berlin,1983-08-11 00:00:00+00:00,26.039,15.139,20.845247
Berlin,1983-08-12 00:00:00+00:00,23.189,12.938999,18.374414
Berlin,1983-08-13 00:00:00+00:00,20.039,12.889,16.239
Berlin,1983-08-14 00:00:00+00:00,17.989,11.438999,14.741084
Berlin,1983-08-15 00:00:00+00:00,22.088999,9.738999,16.468168
Berlin,1983-08-16 00:00:00+00:00,26.539,12.839,20.297333
Berlin,1983-08-17 00:00:00+00:00,25.239,15.988999,20.539003
Berlin,1983-08-18 00:00:00+00:00,24.389,15.889,19.980665
Berlin,1983-08-19 00:00:00+00:00,27.088999,15.238999,21.77025
Berlin,1983-08-20 00:00:00+00:00,27.289,16.789,22.199415
Berlin,1983-08-21 00:00:00+00:00,27.039,16.588999,21.79733
Berlin,1983-08-22 00:00:00+00:00,27.588999,16.489,22.35775
Berlin,1983-08-23 00:00:00+00:00,27.889,18.338999,22.641085
Berlin,1983-08-24 00:00:00+00:00,27.289,17.989,22.32025
Berlin,1983-08-25 00:00:00+00:00,25.639,17.689,21.464003
Berlin,1983-08-26 00:00:00+00:00,24.989,15.589,20.032751
Berlin,1983-08-27 00:00:00+00:00,24.639,14.789,19.564001
Berlin,1983-08-28 00:00:00+00:00,20.139,12.938999,16.614
Berlin,1983-08-29 00:00:00+00:00,22.389,10.438999,16.649416
Berlin,1983-08-30 00:00:00+00:00,24.239,10.938999,17.743166
Berlin,1983-08-31 00:00:00+00:00,26.889,11.089,19.661917
Berlin,1984-06-01 00:00:00+00:00,18.789,10.039,14.470249
Berlin,1984-06-02 00:00:00+00:00,21.239,9.589,16.489002
Berlin,1984-06-03 00:00:00+00:00,24.639,14.188999,20.1765
Berlin,1984-06-04 00:00:00+00:00,25.639,16.389,21.109835
Berlin,1984-06-05 00:00:00+00:00,16.338999,12.039,14.909833
Berlin,1984-06-06 00:00:00+00:00,13.139,10.889,11.991084
Berlin,1984-06-07 00:00:00+00:00,14.789,11.089,12.853583
Berlin,1984-06-08 00:00:00+00:00,16.739,10.738999,13.430667
Berlin,1984-06-09 00:00:00+00:00,15.789,10.789,13.32442
Berlin,1984-06-10 00:00:00+00:00,15.238999,10.889,12.9140005
Berlin,1984-06-11 00:00:00+00:00,14.938999,8.938999,12.018165
Berlin,1984-06-12 00:00:00+00:00,16.939,6.739,13.216084
Berlin,1984-06-13 00:00:00+00:00,18.439,10.738999,15.255666
Berlin,1984-06-14 00:00:00+00:00,15.289,12.289,14.374416
Berlin,1984-06-15 00:00:00+00:00,16.039,10.438999,13.363999
Berlin,1984-06-16 00:00:00+00:00,17.739,10.589,13.999416
Berlin,1984-06-17 00:00:00+00:00,14.589,11.589,13.332751
Berlin,1984-06-18 00:00:00+00:00,19.039,11.789,15.384834
Berlin,1984-06-19 00:00:00+00:00,22.239,10.688999,16.886917
Berlin,1984-06-20 00:00:00+00:00,22.939,12.139,18.54733
Berlin,1984-06-21 00:00:00+00:00,25.939,13.938999,19.82025
Berlin,1984-06-22 00:00:00+00:00,18.489,12.389,15.666085
Berlin,1984-06-23 00:00:00+00:00,15.688999,10.539,13.834834
Berlin,1984-06-24 00:00:00+00:00,15.389,9.188999,11.653583
Berlin,1984-06-25 00:00:00+00:00,13.938999,9.789,11.584832
Berlin,1984-06-26 00:00:00+00:00,16.739,10.039,13.343166
Berlin,1984-06-27 00:00:00+00:00,18.989,11.139,15.270249
Berlin,1984-06-28 00:00:00+00:00,16.989,11.339,13.936917
Berlin,1984-06-29 00:00:00+00:00,15.339,9.238999,12.441085
Berlin,1984-06-30 00:00:00+00:00,15.938999,8.938999,12.093166
Berlin,1984-07-01 00:00:00+00:00,15.139,8.488999,12.449417
Berlin,1984-07-02 00:00:00+00:00,17.639,7.689,13.518166
Berlin,1984-07-03 00:00:00+00:00,14.988999,10.188999,11.87025
Berlin,1984-07-04 00:00:00+00:00,17.088999,9.139,13.236917
Berlin,1984-07-05 00:00:00+00:00,15.188999,11.488999,13.214001
Berlin,1984-07-06 00:00:00+00:00,16.889,11.488999,13.782749
Berlin,1984-07-07 00:00:00+00:00,18.639,9.389,14.389001
Berlin,1984-07-08 00:00:00+00:00,22.989,9.438999,17.168169
Berlin,1984-07-09 00:00:00+00:00,26.189,12.438999,19.993166
Berlin,1984-07-10 00:00:00+00:00,30.639,14.089,22.941086
Berlin,1984-07-11 00:00:00+00:00,33.089,18.489,26.622335
Berlin,1984-07-12 00:00:00+00:00,25.489,19.639,23.24942
Berlin,1984-07-13 00:00:00+00:00,24.489,16.189,19.947334
Berlin,1984-07-14 00:00:00+00:00,21.289,14.488999,17.336914
Berlin,1984-07-15 00:00:00+00:00,17.889,12.988999,15.722333
Berlin,1984-07-16 00:00:00+00:00,18.389,12.289,14.976501
Berlin,1984-07-17 00:00:00+00:00,18.539,12.688999,14.780665
Berlin,1984-07-18 00:00:00+00:00,17.489,12.839,14.899417
Berlin,1984-07-19 00:00:00+00:00,19.789,13.839,16.541082
Berlin,1984-07-20 00:00:00+00:00,17.838999,12.938999,15.514
Berlin,1984-07-21 00:00:00+00:00,17.639,13.039,15.2785845
Berlin,1984-07-22 00:00:00+00:00,17.689,11.539,14.657749
Berlin,1984-07-23 00:00:00+00:00,17.939,11.589,14.803582
Berlin,1984-07-24 00:00:00+00:00,16.889,10.089,13.739001
Berlin,1984-07-25 00:00:00+00:00,18.989,9.639,14.999417
Berlin,1984-07-26 00:00:00+00:00,17.789,12.988999,15.366084
Berlin,1984-07-27 00:00:00+00:00,17.539,12.139,14.816083
Berlin,1984-07-28 00:00:00+00:00,18.989,12.488999,15.876499
Berlin,1984-07-29 00:00:00+00:00,20.439,15.238999,17.503584
Berlin,1984-07-30 00:00:00+00:00,25.889,12.539,20.349417
Berlin,1984-07-31 00:00:00+00:00,29.838999,16.189,23.447334
Berlin,1984-08-01 00:00:00+00:00,28.039,17.338999,21.507751
Berlin,1984-08-02 00:00:00+00:00,21.039,13.589,17.172333
Berlin,1984-08-03 00:00:00+00:00,26.088999,13.589,20.509834
Berlin,1984-08-04 00:00:00+00:00,27.489,17.838999,22.61817
Berlin,1984-08-05 00:00:00+00:00,25.588999,16.489,20.620253
Berlin,1984-08-06 00:00:00+00:00,21.739,14.639,18.028585
Berlin,1984-08-07 00:00:00+00:00,21.189,11.589,17.047333
Berlin,1984-08-08 00:00:00+00:00,21.989,14.488999,18.091085
Berlin,1984-08-09 00:00:00+00:00,22.338999,16.139,19.11608
Berlin,1984-08-10 00:00:00+00:00,21.939,17.088999,19.043167
